# $Id: O-2.dat 68 2014-02-18 23:49:56Z nicb $
#
# Fausto Razzi
# O S T I N A T O   2   (versione definitiva)
#
# DURATA TOTALE = 786" = 13'06"  
#
#
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# NUMERAZIONE SOUNDIN secondo LINK.BAT
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#
#  test ricorrenza voci         con tro                   17
#                               sem pre                   7
#                               nel tem po                9
#
#                               contro                    30
#                               sempre                    16
#                               questa resistenza         12
#                               nel tempo                 10 
#                               contro i nemici di classe 8
#                               si rinnova nel tempo      7 
#                               in altre forme            7   
#                               si rinnova                5  
#                               in forme antiche          4
#
# riverbero
#
direct|i99 0 789
#
#    
#    
# BASSO
# durata relativa = 768
# durata assoluta = 783 
#
# 
basso|15|67|52|-2.5|arpa-4-g.aiff|1.47|2|2|0|1.9|1.1|65|0|0.2| arpa1.1
basso|15|67|52|-2.47|arpa-4-h.aiff|1.47|2|1|-0.0043|1.9|1.1|65|0|0.8| arpa2.1
basso|481|47|33|-2.5|arpa-4-g.aiff|1.47|2|2|0|1.9|1.1|79.9118|2|0.2| arpa1.2 
# durata ass. = da 308.985 a 463.86
#                  
#
vlrip|317.985|13|15|-0.500|contro-3.aiff|-1|66|1|0|A31.1 - contro
vlrip|317.985|12.623|15|-0.509|contro-4.aiff|-1|66|0|0|A31.2 - contro 
vlrip|326.485|12.36|15|-0.518|sempre-0.aiff|-1|66|1|0|A31.3 - sempre 
vlrip|334.485|12.073|15|-0.527|contro-7.aiff|-1|66|0|0|A31.4 - contro 
vlrip|341.985|11.77|15|-0.537|sempre-1.aiff|-1|66|1|0|A31.5 - sempre 
vlrip|348.985|11.443|15|-0.546|sempre-3.aiff|-1|66|0|0|A31.6 - sempre 
vlrip|355.485|11.11|15|-0.555|tempo-0.aiff|-1|66|1|0|A31.7 - nel tempo
vlrip|361.485|10.733|15|-0.565|tempo-1.aiff|-1|66|0|0|A31.8 - nel tempo  
vlrip|366.985|10.35|15|-0.574|tempo-2.aiff|-1|66|1|0|A31.9 - nel tempo 
direct|i1 371.985 3 72.00 200 34 0 0.00 1.00 
vlrip|381.928|9.36|14|-0.583|resist-1.aiff|-1|66|0|0|A31.10 - q.resistenza 
vlrip|376.485|9.6|15|-0.593|antiche.aiff|-1|66|1|0|A31.11 - in f.antiche
vlrip|380.485|9.15|15|-0.602|tempo-3.aiff|-1|66|0|0|A31.12 - nel tempo
vlrip|383.985|8.75|14|-0.611|antiche.aiff|-1|66|1|0|A31.13 - in f.antiche 
direct|i1 386.98 3 72.00 200 35 0 0.50 0.50 
vlrip|395.238|7.63|11|-0.620|resist-2.aiff|-1|66|0.5|0|A31.14 - q.resistenza
vlrip|389.485|7.8|10|-0.630|forme.aiff|-1|66|1|0|A31.15 - in a.forme 
direct|i1 391.48 3 72.00 200 36 0 1.00 0.00 
vlrip|398.798|6.67|7|-0.639|resist-3.aiff|-1|66|1|0|A31.16 - q.resistenza 
vlrip|392.985|6.8|6|-0.648|sempre-4.aiff|-1|66|1|0|A31.17 - sempre 
vlrip|393.985|6.253|4|-0.658|sempre-5.aiff|-1|66|0|0|A31.18 - sempre 
vlrip|394.485|5.68|2|-0.667|sempre-0.aiff|-1|66|1|0|A31.19 - sempre
#
#
#
#
# VOCE B1 
# coeff.di incremento: da 1.5 a 2 (1.5 +0.028)
# durata rel. = 257.88 (linea 8 + 15)
# durata ass. = da 499.12 a 757
#
vlrip|541.12|1.5|14|1.5|nemici-3.aiff|-1|82.9118|0.82|4|B1.1 - c.i nemici di cl. 
vlrip|530.62|3.03|14|1.528|tempo-0.aiff|-1|82.9118|0.77|4|B1.2 - nel tempo
vlrip|521.62|4.63|13|1.556|rinnova.aiff|-1|82.9118|0.71|4|B1.3 - si rinnova
vlrip|514.12|6.03|13|1.584|antiche.aiff|-1|82.9118|0.27|4|B1.4 - in f.antiche
vlrip|508.12|8.02|12|1.612|forme.aiff|-1|82.9118|0.33|4|B1.5 - in a.forme
vlrip|503.62|9.81|12|1.64|tempo-1.aiff|-1|82.9118|0.38|4|B1.6 - nel tempo
vlrip|500.62|11.65|11|1.668|rinnova.aiff|-1|82.9118|0.44|4|B1.7 - si rinnova
vlrip|499.12|13.56|10|1.696|nemici-1.aiff|-1|82.9118|0.5|4|B1.8 - c.i nem.di cl.
vlrip|499.12|15.52|10|1.724|nemici-2.aiff|-1|82.9118|0.5|4|B1.9 - c.i nem.di cl
vlrip|500.62|17.55|9|1.752|antiche.aiff|-1|82.9118|0.55|4|B1.10 - in f.antiche
vlrip|505.12|19.8|9|1.78|forme.aiff|-1|82.9118|0.6|4|B1.11 - in a.forme
vlrip|512.62|21.96|8|1.808|srntempo.aiff|-1|82.9118|0.66|4|B1.12 - si rinn.n.tempo
